framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,linear,0,4632,12,0.522,0.009,0.001,0.222,40.033203125,4174.6,3.025,1.862645149230957e-07,0.075062,True
deepprove,linear,1,4632,12,0.525,0.008,0.0,0.223,40.033203125,4174.6,0.828,3.5762786865234375e-07,0.061659,True
deepprove,linear,2,4632,12,0.726,0.017,0.0,0.227,40.033203125,4174.8,1.06,5.960464477539063e-08,0.001792,True
deepprove,linear,3,4632,12,1.008,0.021,0.001,0.323,40.033203125,4174.8,1.454,4.76837158203125e-07,0.055173,True
deepprove,linear,4,4632,12,0.853,0.017,0.001,0.38,40.033203125,4174.6,1.376,4.172325134277344e-07,0.042631,True
deepprove,linear,5,4632,12,0.881,0.018,0.001,0.374,40.033203125,4174.6,1.395,2.384185791015625e-07,0.029422,True
deepprove,linear,6,4632,12,0.858,0.018,0.001,0.367,40.033203125,4174.6,1.363,5.960464477539063e-08,0.005763,True
deepprove,linear,7,4632,12,1.03,0.018,0.001,0.458,40.033203125,4174.8,1.628,2.384185791015625e-07,0.068101,True
deepprove,linear,8,4632,12,0.851,0.018,0.001,0.353,40.033203125,4174.6,1.335,3.5762786865234375e-07,0.232582,True
deepprove,linear,9,4632,12,0.869,0.019,0.001,0.374,40.033203125,4174.6,1.379,3.5762786865234375e-07,0.292855,True
deepprove,linear,10,4632,12,1.073,0.017,0.001,0.374,40.033203125,4174.6,1.586,2.980232238769531e-07,0.072157,True
deepprove,linear,11,4632,12,0.862,0.017,0.001,0.388,40.033203125,4174.6,1.376,7.152557373046875e-07,0.104958,True
deepprove,linear,12,4632,12,0.845,0.018,0.001,0.345,40.033203125,4174.8,1.325,2.384185791015625e-07,0.038583,True
deepprove,linear,13,4632,12,0.869,0.019,0.001,0.383,40.033203125,3918.6,1.389,4.172325134277344e-07,0.026552,True
deepprove,linear,14,4632,12,0.907,0.018,0.001,0.471,40.033203125,4174.6,1.514,3.5762786865234375e-07,0.021603,True
deepprove,linear,15,4632,12,1.085,0.021,0.001,0.44,40.033203125,4174.6,1.687,4.172325134277344e-07,0.059496,True
deepprove,linear,16,4632,12,0.908,0.018,0.001,0.454,40.033203125,4174.6,1.509,3.8743019104003906e-07,0.099062,True
deepprove,linear,17,4632,12,1.02,0.017,0.001,0.569,40.033203125,4174.6,1.725,2.384185791015625e-07,0.270306,True
deepprove,linear,18,4632,12,0.84,0.017,0.001,0.356,40.033203125,4174.6,1.331,3.5762786865234375e-07,0.036459,True
deepprove,linear,19,4632,12,0.871,0.017,0.001,0.364,40.033203125,4174.7,1.364,9.5367431640625e-07,0.059094,True
deepprove,linear,20,4632,12,1.09,0.018,0.001,0.41,40.033203125,4174.6,1.638,4.76837158203125e-07,0.114904,True
deepprove,linear,21,4632,12,0.817,0.017,0.001,0.38,40.033203125,4174.6,1.331,3.5762786865234375e-07,0.081298,True
deepprove,linear,22,4632,12,0.878,0.017,0.001,0.359,40.033203125,4174.6,1.368,3.5762786865234375e-07,0.053521,True
deepprove,linear,23,4632,12,1.007,0.017,0.001,0.7,40.033203125,4174.6,1.841,2.384185791015625e-07,0.080005,True
deepprove,linear,24,4632,12,0.846,0.017,0.001,0.394,40.033203125,4174.6,1.379,2.980232238769531e-07,0.016127,True
deepprove,linear,25,4632,12,0.853,0.016,0.001,0.391,40.033203125,4174.6,1.378,4.76837158203125e-07,0.014315,True
deepprove,linear,26,4632,12,0.857,0.016,0.001,0.358,40.033203125,4174.6,1.349,2.384185791015625e-07,0.03792,True
deepprove,linear,27,4632,12,0.991,0.017,0.001,0.435,40.033203125,4174.6,1.566,3.5762786865234375e-07,0.102923,True
deepprove,linear,28,4632,12,0.814,0.018,0.001,0.358,40.033203125,4174.6,1.311,3.5762786865234375e-07,0.045124,True
deepprove,linear,29,4632,12,0.857,0.018,0.001,0.36,40.033203125,4174.6,1.348,7.748603820800781e-07,0.293817,True
deepprove,linear,30,4632,12,0.957,0.021,0.001,0.378,40.033203125,4174.6,1.474,4.172325134277344e-07,0.084014,True
deepprove,linear,31,4632,12,0.857,0.018,0.001,0.394,40.033203125,4174.6,1.389,4.76837158203125e-07,0.045208,True
deepprove,linear,32,4632,12,0.833,0.018,0.001,0.364,40.033203125,4174.6,1.331,7.152557373046875e-07,0.054178,True
deepprove,linear,33,4632,12,0.857,0.016,0.001,0.368,40.033203125,4174.6,1.36,1.7881393432617188e-07,0.115045,True
deepprove,linear,34,4632,12,1.012,0.016,0.001,0.432,40.033203125,4174.6,1.581,4.76837158203125e-07,0.070449,True
deepprove,linear,35,4632,12,0.865,0.019,0.001,0.418,40.033203125,4174.6,1.415,5.960464477539062e-07,0.045274,True
deepprove,linear,36,4632,12,0.83,0.019,0.001,0.353,40.033203125,4174.6,1.315,6.556510925292969e-07,0.027042,True
deepprove,linear,37,4632,12,0.966,0.019,0.001,0.385,40.033203125,4174.6,1.484,2.384185791015625e-07,0.044702,True
deepprove,linear,38,4632,12,0.853,0.017,0.001,0.437,40.033203125,4174.6,1.429,2.980232238769531e-07,0.156644,True
deepprove,linear,39,4632,12,0.922,0.017,0.001,0.385,40.033203125,4174.6,1.441,3.5762786865234375e-07,0.105172,True
deepprove,linear,40,4632,12,0.82,0.017,0.001,0.361,40.033203125,4174.6,1.319,3.5762786865234375e-07,0.067977,True
deepprove,linear,41,4632,12,1.023,0.018,0.001,0.507,40.033203125,4174.6,1.664,3.5762786865234375e-07,0.044124,True
deepprove,linear,42,4632,12,0.795,0.019,0.001,0.357,40.033203125,4174.6,1.282,4.76837158203125e-07,0.195892,True
deepprove,linear,43,4632,12,1.079,0.04,0.001,0.37,40.033203125,4174.6,1.615,3.5762786865234375e-07,0.051239,True
deepprove,linear,44,4632,12,1.064,0.016,0.001,0.351,40.033203125,4174.6,1.552,2.980232238769531e-07,0.032704,True
deepprove,linear,45,4632,12,0.868,0.017,0.001,0.397,40.033203125,4174.6,1.395,3.5762786865234375e-07,0.030838,True
deepprove,linear,46,4632,12,0.863,0.017,0.001,0.358,40.033203125,4174.6,1.352,3.5762786865234375e-07,0.032858,True
deepprove,linear,47,4632,12,0.919,0.02,0.001,0.365,40.033203125,4174.6,1.42,4.76837158203125e-07,0.034882,True
deepprove,linear,48,4632,12,0.871,0.018,0.002,0.484,40.033203125,4174.6,1.497,4.172325134277344e-07,0.051145,True
deepprove,linear,49,4632,12,0.822,0.017,0.001,0.35,40.033203125,4174.6,1.307,2.384185791015625e-07,0.055309,True
deepprove,linear,50,4632,12,0.848,0.018,0.001,0.365,40.033203125,4174.6,1.34,2.5331974029541016e-07,0.220933,True
deepprove,linear,51,4632,12,1.093,0.017,0.001,0.36,40.033203125,4174.6,1.584,2.384185791015625e-07,0.06135,True
deepprove,linear,52,4632,12,0.83,0.017,0.001,0.371,40.033203125,4174.6,1.334,4.76837158203125e-07,0.116892,True
deepprove,linear,53,4632,12,0.81,0.018,0.001,0.385,40.033203125,4174.6,1.323,2.384185791015625e-07,0.032477,True
deepprove,linear,54,4632,12,0.8,0.018,0.001,0.352,40.033203125,4174.6,1.286,3.5762786865234375e-07,0.034869,True
deepprove,linear,55,4632,12,0.916,0.017,0.001,0.514,40.033203125,4174.6,1.57,4.76837158203125e-07,0.077035,True
deepprove,linear,56,4632,12,0.798,0.017,0.001,0.359,40.033203125,4174.6,1.292,2.980232238769531e-07,0.160414,True
deepprove,linear,57,4632,12,0.842,0.017,0.001,0.374,40.033203125,4174.6,1.346,4.76837158203125e-07,0.005577,True
deepprove,linear,58,4632,12,1.004,0.019,0.001,0.352,40.033203125,4174.6,1.494,3.2782554626464844e-07,0.035944,True
deepprove,linear,59,4632,12,0.853,0.019,0.001,0.385,40.033203125,4174.6,1.373,2.384185791015625e-07,0.019565,True
deepprove,linear,60,4632,12,0.804,0.018,0.001,0.358,40.033203125,4174.6,1.3,2.086162567138672e-07,0.0906,True
deepprove,linear,61,4632,12,0.798,0.019,0.001,0.359,40.033203125,4174.6,1.29,3.5762786865234375e-07,0.08174,True
deepprove,linear,62,4632,12,1.019,0.017,0.001,0.524,40.033203125,4174.6,1.671,4.76837158203125e-07,0.057473,True
deepprove,linear,63,4632,12,0.831,0.017,0.001,0.355,40.033203125,4174.6,1.316,3.5762786865234375e-07,0.046774,True
deepprove,linear,64,4632,12,1.239,0.017,0.001,0.352,40.033203125,4174.6,1.722,3.5762786865234375e-07,0.03891,True
deepprove,linear,65,4632,12,1.053,0.017,0.001,0.366,40.033203125,4174.6,1.576,3.5762786865234375e-07,0.071572,True
deepprove,linear,66,4632,12,0.814,0.018,0.001,0.384,40.033203125,4174.6,1.331,2.384185791015625e-07,0.030108,True
deepprove,linear,67,4632,12,0.867,0.017,0.001,0.389,40.033203125,4174.6,1.396,3.5762786865234375e-07,0.036497,True
deepprove,linear,68,4632,12,0.981,0.022,0.001,0.372,40.033203125,4174.6,1.501,7.152557373046875e-07,0.036199,True
deepprove,linear,69,4632,12,0.833,0.017,0.001,0.462,40.033203125,4174.6,1.445,3.5762786865234375e-07,0.026187,True
deepprove,linear,70,4632,12,0.814,0.019,0.001,0.375,40.033203125,4174.6,1.331,4.76837158203125e-07,0.044695,True
deepprove,linear,71,4632,12,1.011,0.016,0.001,0.404,40.033203125,4174.6,1.547,7.152557373046875e-07,0.078514,True
deepprove,linear,72,4632,12,1.326,0.02,0.001,0.49,40.033203125,4174.6,1.968,4.76837158203125e-07,0.045087,True
deepprove,linear,73,4632,12,1.156,0.02,0.002,0.614,40.033203125,4174.6,1.945,4.76837158203125e-07,0.048241,True
deepprove,linear,74,4632,12,1.333,0.021,0.001,0.446,40.033203125,4174.6,1.936,2.384185791015625e-07,0.040306,True
deepprove,linear,75,4632,12,1.103,0.019,0.001,0.519,40.033203125,4174.6,1.771,9.5367431640625e-07,0.131507,True
deepprove,linear,76,4632,12,0.952,0.021,0.001,0.453,40.033203125,4174.6,1.55,2.384185791015625e-07,0.037746,True
deepprove,linear,77,4632,12,1.31,0.019,0.001,0.42,40.033203125,4174.6,1.872,5.960464477539062e-07,0.039811,True
deepprove,linear,78,4632,12,1.063,0.018,0.001,0.561,40.033203125,4174.6,1.784,3.5762786865234375e-07,0.055935,True
deepprove,linear,79,4632,12,0.967,0.017,0.001,0.434,40.033203125,4174.6,1.536,2.682209014892578e-07,0.044693,True
deepprove,linear,80,4632,12,1.287,0.018,0.001,0.458,40.033203125,4174.6,1.876,4.76837158203125e-07,0.032694,True
deepprove,linear,81,4632,12,0.985,0.017,0.001,0.493,40.033203125,4174.6,1.635,4.76837158203125e-07,0.042757,True
deepprove,linear,82,4632,12,1.477,0.02,0.001,0.418,40.033203125,4174.8,2.031,7.152557373046875e-07,0.327277,True
deepprove,linear,83,4632,12,0.939,0.018,0.001,0.647,40.033203125,4174.6,1.733,4.76837158203125e-07,0.794174,True
deepprove,linear,84,4632,12,1.199,0.019,0.001,0.458,40.033203125,4174.6,1.799,1.1920928955078125e-07,0.320256,True
deepprove,linear,85,4632,12,1.612,0.025,0.001,0.561,40.033203125,4174.6,2.328,4.172325134277344e-07,0.005328,True
deepprove,linear,86,4632,12,1.186,0.019,0.001,0.564,40.033203125,4174.6,1.912,2.384185791015625e-07,0.090131,True
deepprove,linear,87,4632,12,0.918,0.02,0.001,0.529,40.033203125,4174.6,1.61,1.0728836059570312e-06,0.13348,True
deepprove,linear,88,4632,12,0.955,0.018,0.001,0.497,40.033203125,4174.8,1.589,2.384185791015625e-07,0.004253,True
deepprove,linear,89,4632,12,0.875,0.017,0.001,0.361,40.033203125,4174.6,1.37,3.5762786865234375e-07,0.004946,True
deepprove,linear,90,4632,12,0.839,0.019,0.001,0.395,40.033203125,4174.6,1.366,2.384185791015625e-07,0.006926,True
deepprove,linear,91,4632,12,1.129,0.017,0.001,0.351,40.033203125,4174.6,1.611,3.5762786865234375e-07,0.001389,True
deepprove,linear,92,4632,12,0.996,0.018,0.004,0.389,40.033203125,4174.6,1.522,3.5762786865234375e-07,0.059579,True
deepprove,linear,93,4632,12,0.853,0.016,0.001,0.456,40.033203125,4174.6,1.44,2.384185791015625e-07,0.002678,True
deepprove,linear,94,4632,12,0.958,0.017,0.001,0.387,40.033203125,4174.6,1.474,2.980232238769531e-07,0.002658,True
deepprove,linear,95,4632,12,0.823,0.018,0.001,0.411,40.033203125,4174.6,1.369,3.5762786865234375e-07,0.026112,True
deepprove,linear,96,4632,12,0.853,0.018,0.001,0.379,40.033203125,4174.6,1.362,9.5367431640625e-07,0.100803,True
deepprove,linear,97,4632,12,0.795,0.016,0.001,0.35,40.033203125,4174.6,1.275,2.980232238769531e-07,0.033234,True
deepprove,linear,98,4632,12,1.134,0.016,0.001,0.425,40.033203125,4174.6,1.692,4.172325134277344e-07,0.043105,True
deepprove,linear,99,4632,12,0.837,0.018,0.001,0.354,40.033203125,4174.6,1.32,9.5367431640625e-07,0.084495,True
deepprove,linear,100,4632,12,1.166,0.023,0.001,0.377,40.033203125,4174.6,1.685,2.384185791015625e-07,0.026937,True
deepprove,linear,101,4632,12,1.069,0.017,0.001,0.361,40.033203125,4174.7,1.564,4.76837158203125e-07,0.018674,True
deepprove,linear,102,4632,12,0.892,0.018,0.001,0.393,40.033203125,4174.6,1.417,3.5762786865234375e-07,0.068383,True
deepprove,linear,103,4632,12,0.831,0.017,0.001,0.367,40.033203125,4174.6,1.331,4.172325134277344e-07,0.072589,True
deepprove,linear,104,4632,12,0.888,0.022,0.001,0.383,40.033203125,4174.6,1.408,3.5762786865234375e-07,0.015366,True
deepprove,linear,105,4632,12,0.879,0.019,0.001,0.48,40.033203125,4174.6,1.497,4.76837158203125e-07,0.030027,True
deepprove,linear,106,4632,12,0.865,0.017,0.001,0.384,40.033203125,4174.6,1.382,3.5762786865234375e-07,0.070379,True
deepprove,linear,107,4632,12,0.797,0.017,0.001,0.354,40.033203125,4174.6,1.28,6.556510925292969e-07,0.181413,True
deepprove,linear,108,4632,12,1.147,0.016,0.001,0.367,40.033203125,4174.6,1.645,4.76837158203125e-07,0.013667,True
deepprove,linear,109,4632,12,0.835,0.021,0.001,0.384,40.033203125,4174.6,1.35,5.960464477539062e-07,0.017589,True
deepprove,linear,110,4632,12,0.844,0.016,0.001,0.361,40.033203125,4174.6,1.337,3.5762786865234375e-07,0.034086,True
deepprove,linear,111,4632,12,0.816,0.021,0.001,0.361,40.033203125,4174.6,1.318,4.76837158203125e-07,0.422608,True
deepprove,linear,112,4632,12,0.923,0.031,0.001,0.466,40.033203125,4174.6,1.54,3.5762786865234375e-07,0.071219,True
deepprove,linear,113,4632,12,0.851,0.016,0.001,0.358,40.033203125,4174.6,1.344,1.7881393432617188e-07,0.086367,True
deepprove,linear,114,4632,12,0.861,0.016,0.001,0.351,40.033203125,4174.6,1.34,1.4901161193847656e-08,0.001248,True
deepprove,linear,115,4632,12,1.09,0.016,0.001,0.388,40.033203125,4174.6,1.609,1.1920928955078125e-07,0.0091,True
deepprove,linear,116,4632,12,0.822,0.016,0.001,0.358,40.033203125,4174.6,1.314,2.384185791015625e-07,0.016648,True
deepprove,linear,117,4632,12,0.852,0.017,0.001,0.362,40.033203125,4174.6,1.348,7.152557373046875e-07,0.202121,True
deepprove,linear,118,4632,12,0.921,0.021,0.001,0.376,40.033203125,4174.6,1.436,7.450580596923828e-08,0.087108,True
deepprove,linear,119,4632,12,0.914,0.016,0.001,0.502,40.033203125,4174.6,1.548,4.76837158203125e-07,0.090284,True
deepprove,linear,120,4632,12,0.809,0.019,0.001,0.378,40.033203125,4174.6,1.32,4.76837158203125e-07,0.016435,True
deepprove,linear,121,4632,12,1.12,0.017,0.001,0.361,40.033203125,4174.6,1.612,2.980232238769531e-07,0.115085,True
deepprove,linear,122,4632,12,1.0,0.017,0.001,0.408,40.033203125,4174.6,1.538,2.384185791015625e-07,0.009679,True
deepprove,linear,123,4632,12,0.828,0.017,0.001,0.407,40.033203125,4174.6,1.366,5.364418029785156e-07,0.101115,True
deepprove,linear,124,4632,12,1.054,0.021,0.001,0.374,40.033203125,4174.6,1.564,4.76837158203125e-07,0.033056,True
deepprove,linear,125,4632,12,1.308,0.017,0.001,0.477,40.033203125,4174.6,1.922,2.384185791015625e-07,0.412059,True
deepprove,linear,126,4632,12,1.072,0.019,0.001,0.367,40.033203125,4174.6,1.584,4.76837158203125e-07,0.017744,True
deepprove,linear,127,4632,12,0.835,0.018,0.001,0.386,40.033203125,4174.7,1.358,4.76837158203125e-07,0.228605,True
deepprove,linear,128,4632,12,0.945,0.02,0.001,0.367,40.033203125,4174.6,1.448,5.960464477539062e-07,0.779575,True
deepprove,linear,129,4632,12,0.849,0.018,0.001,0.436,40.033203125,4174.6,1.425,4.76837158203125e-07,0.172225,True
deepprove,linear,130,4632,12,0.86,0.019,0.001,0.362,40.033203125,4174.6,1.355,4.172325134277344e-07,0.752958,True
deepprove,linear,131,4632,12,0.803,0.018,0.001,0.359,40.033203125,4174.6,1.294,2.980232238769531e-07,0.132432,True
deepprove,linear,132,4632,12,1.046,0.017,0.001,0.41,40.033203125,4174.6,1.589,4.76837158203125e-07,0.064522,True
deepprove,linear,133,4632,12,0.847,0.017,0.001,0.425,40.033203125,4174.6,1.407,7.152557373046875e-07,0.103861,True
deepprove,linear,134,4632,12,0.799,0.019,0.001,0.365,40.033203125,4174.6,1.297,5.960464477539062e-07,0.045053,True
deepprove,linear,135,4632,12,0.997,0.019,0.001,0.355,40.033203125,4110.6,1.49,5.960464477539062e-07,0.100545,True
deepprove,linear,136,4632,12,0.852,0.018,0.001,0.403,40.033203125,4174.6,1.41,5.960464477539062e-07,0.017096,True
deepprove,linear,137,4632,12,0.811,0.022,0.001,0.351,40.033203125,4174.6,1.295,3.5762786865234375e-07,0.032452,True
deepprove,linear,138,4632,12,0.848,0.018,0.001,0.351,40.033203125,4174.7,1.328,3.5762786865234375e-07,0.016516,True
deepprove,linear,139,4632,12,1.048,0.017,0.001,0.45,40.033203125,4174.6,1.633,3.5762786865234375e-07,0.014685,True
deepprove,linear,140,4632,12,0.862,0.018,0.001,0.373,40.033203125,4174.6,1.364,4.172325134277344e-07,0.072025,True
deepprove,linear,141,4632,12,1.185,0.017,0.001,0.374,40.033203125,4174.6,1.689,3.5762786865234375e-07,0.060308,True
deepprove,linear,142,4632,12,1.083,0.019,0.001,0.359,40.033203125,4174.6,1.572,3.5762786865234375e-07,0.1197,True
deepprove,linear,143,4632,12,0.888,0.021,0.001,0.368,40.033203125,4174.6,1.391,2.384185791015625e-07,0.049128,True
deepprove,linear,144,4632,12,0.843,0.017,0.001,0.359,40.033203125,4174.6,1.333,5.960464477539062e-07,0.08875,True
deepprove,linear,145,4632,12,0.844,0.019,0.001,0.403,40.033203125,4174.6,1.381,4.76837158203125e-07,0.084952,True
deepprove,linear,146,4632,12,0.873,0.017,0.001,0.485,40.033203125,4174.6,1.493,2.384185791015625e-07,0.019246,True
deepprove,linear,147,4632,12,0.84,0.018,0.001,0.398,40.033203125,4174.6,1.37,5.364418029785156e-07,0.075866,True
deepprove,linear,148,4632,12,0.832,0.017,0.001,0.351,40.033203125,4174.6,1.318,3.5762786865234375e-07,0.025212,True
deepprove,linear,149,4632,12,1.053,0.016,0.001,0.348,40.033203125,4174.6,1.528,3.5762786865234375e-07,0.01082,True
deepprove,linear,150,4632,12,0.874,0.016,0.001,0.376,40.033203125,4174.6,1.409,5.960464477539062e-07,0.018225,True
deepprove,linear,151,4632,12,0.841,0.017,0.001,0.358,40.033203125,4174.8,1.329,2.384185791015625e-07,0.02656,True
deepprove,linear,152,4632,12,0.829,0.02,0.001,0.392,40.033203125,4174.6,1.366,4.76837158203125e-07,0.018991,True
deepprove,linear,153,4632,12,0.927,0.023,0.001,0.481,40.033203125,4174.6,1.556,4.76837158203125e-07,0.028612,True
deepprove,linear,154,4632,12,0.797,0.018,0.001,0.356,40.033203125,4174.8,1.285,2.384185791015625e-07,0.094217,True
deepprove,linear,155,4632,12,0.793,0.018,0.001,0.375,40.033203125,4174.6,1.303,4.76837158203125e-07,0.030239,True
deepprove,linear,156,4632,12,1.034,0.018,0.001,0.367,40.033203125,4174.6,1.536,1.7881393432617188e-07,0.082778,True
deepprove,linear,157,4632,12,0.819,0.017,0.001,0.355,40.033203125,4174.6,1.306,3.5762786865234375e-07,0.075933,True
deepprove,linear,158,4632,12,0.845,0.018,0.001,0.406,40.033203125,4174.6,1.383,3.5762786865234375e-07,0.009011,True
deepprove,linear,159,4632,12,0.876,0.017,0.001,0.358,40.033203125,4174.6,1.37,2.384185791015625e-07,0.032265,True
