framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,nlinear,0,4632,12,0.9892,0.0296,496.4,258.5,29.797,,,0.091613,True
ezkl,nlinear,1,4632,12,0.8472,0.0303,482.8,278.2,29.831,,,0.03685,True
ezkl,nlinear,2,4632,12,0.9075,0.0283,483.8,269.3,29.778,,,0.000191,True
ezkl,nlinear,3,4632,12,0.8384,0.0345,483.0,295.1,29.825,,,0.060932,True
ezkl,nlinear,4,4632,12,0.8096,0.0278,483.0,294.0,29.807,,,0.035288,True
ezkl,nlinear,5,4632,12,1.1016,0.0398,474.8,297.1,29.782,,,0.038074,True
ezkl,nlinear,6,4632,12,1.0466,0.0291,446.2,296.9,29.766,,,0.005673,True
ezkl,nlinear,7,4632,12,0.9284,0.0361,475.0,299.9,29.813,,,0.071816,True
ezkl,nlinear,8,4632,12,0.909,0.0342,455.4,302.9,29.818,,,0.250143,True
ezkl,nlinear,9,4632,12,0.9226,0.033,471.5,304.9,29.839,,,0.266749,True
ezkl,nlinear,10,4632,12,0.8855,0.0328,451.7,306.1,29.866,,,0.076631,True
ezkl,nlinear,11,4632,12,0.8489,0.0295,475.9,305.8,29.89,,,0.177705,True
ezkl,nlinear,12,4632,12,0.8146,0.0283,483.7,308.9,29.839,,,0.033755,True
ezkl,nlinear,13,4632,12,0.8225,0.0306,474.2,311.0,29.803,,,0.023007,True
ezkl,nlinear,14,4632,12,1.0122,0.0425,537.4,307.0,29.839,,,0.027538,True
ezkl,nlinear,15,4632,12,0.8162,0.0305,491.3,304.4,29.811,,,0.065478,True
ezkl,nlinear,16,4632,12,0.8515,0.0264,475.6,307.0,29.793,,,0.090875,True
ezkl,nlinear,17,4632,12,0.8006,0.0305,480.9,310.0,29.775,,,0.314228,True
ezkl,nlinear,18,4632,12,0.8608,0.0331,472.8,313.0,29.703,,,0.042519,True
ezkl,nlinear,19,4632,12,0.9069,0.0356,477.5,312.2,29.83,,,0.063318,True
ezkl,nlinear,20,4632,12,0.9031,0.0316,475.0,312.1,29.829,,,0.09084,True
ezkl,nlinear,21,4632,12,0.9152,0.0349,474.2,312.7,29.845,,,0.069658,True
ezkl,nlinear,22,4632,12,0.8896,0.0306,466.5,313.6,29.826,,,0.039562,True
ezkl,nlinear,23,4632,12,0.8699,0.0329,470.2,314.6,29.826,,,0.082615,True
ezkl,nlinear,24,4632,12,0.9013,0.0315,481.5,315.7,29.862,,,0.018727,True
ezkl,nlinear,25,4632,12,0.9069,0.0279,458.7,315.2,29.786,,,0.127259,True
ezkl,nlinear,26,4632,12,0.8592,0.0294,478.4,315.6,29.758,,,0.061571,True
ezkl,nlinear,27,4632,12,0.9417,0.0376,470.4,315.6,29.833,,,0.125876,True
ezkl,nlinear,28,4632,12,1.0538,0.0391,479.2,316.4,29.779,,,0.060375,True
ezkl,nlinear,29,4632,12,0.9089,0.0311,456.6,316.6,29.888,,,0.294033,True
ezkl,nlinear,30,4632,12,0.8868,0.0291,466.9,318.6,29.852,,,0.102056,True
ezkl,nlinear,31,4632,12,0.889,0.0324,480.3,316.7,29.757,,,0.05694,True
ezkl,nlinear,32,4632,12,0.905,0.0324,458.6,316.6,29.824,,,0.016421,True
ezkl,nlinear,33,4632,12,0.8546,0.0331,478.6,316.8,29.791,,,0.130955,True
ezkl,nlinear,34,4632,12,0.9047,0.0331,468.7,316.7,29.773,,,0.065981,True
ezkl,nlinear,35,4632,12,1.0637,0.0322,430.6,318.6,29.749,,,0.049574,True
ezkl,nlinear,36,4632,12,0.9421,0.0337,462.8,320.7,29.806,,,0.042651,True
ezkl,nlinear,37,4632,12,0.8564,0.0345,478.8,318.8,29.821,,,0.042345,True
ezkl,nlinear,38,4632,12,0.8411,0.03,464.8,318.7,29.688,,,0.123979,True
ezkl,nlinear,39,4632,12,0.8023,0.1082,473.6,318.7,29.8,,,0.08996,True
ezkl,nlinear,40,4632,12,0.8147,0.0273,482.4,319.7,29.792,,,0.099396,True
ezkl,nlinear,41,4632,12,0.8508,0.0298,474.9,319.8,29.692,,,0.045675,True
ezkl,nlinear,42,4632,12,0.8191,0.0323,478.6,319.3,29.857,,,0.173538,True
ezkl,nlinear,43,4632,12,0.8339,0.0283,480.9,320.4,29.854,,,0.037023,True
ezkl,nlinear,44,4632,12,0.7902,0.0262,472.1,321.4,29.86,,,0.036653,True
ezkl,nlinear,45,4632,12,0.8641,0.0305,475.7,321.3,29.796,,,0.039454,True
ezkl,nlinear,46,4632,12,0.8458,0.028,470.6,321.2,29.754,,,0.020503,True
ezkl,nlinear,47,4632,12,0.8581,0.0305,481.3,322.2,29.803,,,0.033834,True
ezkl,nlinear,48,4632,12,0.8362,0.0291,487.9,322.2,29.825,,,0.056053,True
ezkl,nlinear,49,4632,12,0.8232,0.0277,479.8,322.4,29.761,,,0.042385,True
ezkl,nlinear,50,4632,12,0.8325,0.0326,503.3,324.3,29.85,,,0.196141,True
ezkl,nlinear,51,4632,12,0.8499,0.0337,482.4,326.0,29.807,,,0.045129,True
ezkl,nlinear,52,4632,12,0.8286,0.0303,488.8,324.9,29.81,,,0.108574,True
ezkl,nlinear,53,4632,12,1.066,0.0343,428.7,326.8,29.811,,,0.02234,True
ezkl,nlinear,54,4632,12,0.8519,0.0305,474.2,324.8,29.747,,,0.024719,True
ezkl,nlinear,55,4632,12,0.827,0.0301,480.0,326.8,29.81,,,0.057259,True
ezkl,nlinear,56,4632,12,0.8492,0.0292,480.4,325.9,29.785,,,0.175282,True
ezkl,nlinear,57,4632,12,0.8067,0.0313,499.6,325.9,29.792,,,0.000126,True
ezkl,nlinear,58,4632,12,0.8321,0.0325,479.5,319.2,29.806,,,0.03902,True
ezkl,nlinear,59,4632,12,0.8256,0.0288,485.7,321.5,29.793,,,0.011901,True
ezkl,nlinear,60,4632,12,0.8346,0.0294,487.7,317.5,29.793,,,0.100733,True
ezkl,nlinear,61,4632,12,0.8389,0.0286,479.2,321.6,29.834,,,0.089528,True
ezkl,nlinear,62,4632,12,0.7873,0.0299,472.5,321.5,29.797,,,0.041534,True
ezkl,nlinear,63,4632,12,0.8369,0.026,473.2,326.5,29.839,,,0.047632,True
ezkl,nlinear,64,4632,12,0.8691,0.0307,460.3,324.6,29.748,,,0.028479,True
ezkl,nlinear,65,4632,12,0.8309,0.0312,481.4,324.7,29.859,,,0.071629,True
ezkl,nlinear,66,4632,12,0.854,0.0305,462.5,324.7,29.813,,,0.031319,True
ezkl,nlinear,67,4632,12,0.8299,0.029,466.3,324.7,29.828,,,0.037887,True
ezkl,nlinear,68,4632,12,0.8037,0.028,486.5,324.8,29.761,,,0.044463,True
ezkl,nlinear,69,4632,12,0.845,0.0308,475.7,321.8,29.746,,,0.015887,True
ezkl,nlinear,70,4632,12,0.8354,0.0283,471.6,324.8,29.817,,,0.033389,True
ezkl,nlinear,71,4632,12,0.8312,0.0312,492.1,325.7,29.739,,,0.069776,True
ezkl,nlinear,72,4632,12,0.8579,0.0301,460.4,321.8,29.868,,,0.055484,True
ezkl,nlinear,73,4632,12,0.7735,0.0273,468.0,321.8,29.872,,,0.049842,True
ezkl,nlinear,74,4632,12,0.8508,0.0293,456.0,324.9,29.768,,,0.038807,True
ezkl,nlinear,75,4632,12,0.8068,0.0242,485.9,325.8,29.82,,,0.110371,True
ezkl,nlinear,76,4632,12,0.8268,0.0298,475.3,324.8,29.814,,,0.034788,True
ezkl,nlinear,77,4632,12,0.8457,0.0288,469.4,324.6,29.842,,,0.053983,True
ezkl,nlinear,78,4632,12,0.7647,0.0303,494.3,325.7,29.777,,,0.061745,True
ezkl,nlinear,79,4632,12,0.8317,0.0292,488.1,327.6,29.805,,,0.034032,True
ezkl,nlinear,80,4632,12,1.1247,0.0329,535.3,325.9,29.806,,,0.041481,True
ezkl,nlinear,81,4632,12,0.8337,0.0279,465.4,325.7,29.812,,,0.057859,True
ezkl,nlinear,82,4632,12,0.7844,0.0287,474.3,325.8,29.78,,,0.296742,True
ezkl,nlinear,83,4632,12,0.8817,0.0292,453.7,327.3,29.802,,,1.166588,True
ezkl,nlinear,84,4632,12,0.849,0.0279,468.8,324.3,29.801,,,0.294165,True
ezkl,nlinear,85,4632,12,0.8902,0.0291,484.1,327.5,29.825,,,0.008438,True
ezkl,nlinear,86,4632,12,0.8348,0.0294,464.8,327.4,29.823,,,0.081413,True
ezkl,nlinear,87,4632,12,0.8448,0.0299,486.5,327.4,29.826,,,0.085533,True
ezkl,nlinear,88,4632,12,0.765,0.0312,481.0,327.3,29.803,,,0.005072,True
ezkl,nlinear,89,4632,12,0.8448,0.0289,479.4,327.3,29.848,,,0.006785,True
ezkl,nlinear,90,4632,12,0.7573,0.0277,495.2,327.4,29.824,,,0.003938,True
ezkl,nlinear,91,4632,12,0.8134,0.0306,477.0,327.5,29.79,,,0.00322,True
ezkl,nlinear,92,4632,12,0.8101,0.0318,483.9,329.7,29.854,,,0.0449,True
ezkl,nlinear,93,4632,12,0.8639,0.0306,479.2,325.5,29.845,,,0.003458,True
ezkl,nlinear,94,4632,12,0.8653,0.0293,462.3,323.5,29.798,,,0.002808,True
ezkl,nlinear,95,4632,12,0.7994,0.0298,475.3,326.4,29.785,,,0.02675,True
ezkl,nlinear,96,4632,12,1.0081,0.0317,479.1,326.4,29.862,,,0.088305,True
ezkl,nlinear,97,4632,12,0.9892,0.0287,482.2,326.3,29.79,,,0.032667,True
ezkl,nlinear,98,4632,12,0.8509,0.0274,480.7,327.4,29.765,,,0.058153,True
ezkl,nlinear,99,4632,12,0.8239,0.031,478.2,326.4,29.832,,,0.069893,True
ezkl,nlinear,100,4632,12,0.8124,0.0309,488.7,323.2,29.783,,,0.029407,True
ezkl,nlinear,101,4632,12,0.8336,0.0271,465.4,326.3,29.808,,,0.016189,True
ezkl,nlinear,102,4632,12,0.8554,0.0309,462.9,326.3,29.876,,,0.058022,True
ezkl,nlinear,103,4632,12,0.9039,0.0331,468.0,329.1,29.757,,,0.093021,True
ezkl,nlinear,104,4632,12,0.8565,0.0282,472.9,329.2,29.774,,,0.020971,True
ezkl,nlinear,105,4632,12,1.0051,0.0303,488.5,332.3,29.833,,,0.034127,True
ezkl,nlinear,106,4632,12,0.8087,0.0289,482.3,329.3,29.79,,,0.068964,True
ezkl,nlinear,107,4632,12,0.8618,0.0325,479.2,334.2,29.821,,,0.177599,True
ezkl,nlinear,108,4632,12,0.8483,0.0306,475.1,330.4,29.795,,,0.019926,True
ezkl,nlinear,109,4632,12,0.7976,0.0292,496.5,333.3,29.773,,,0.027332,True
ezkl,nlinear,110,4632,12,0.7951,0.0298,488.0,333.2,29.87,,,0.037359,True
ezkl,nlinear,111,4632,12,0.8063,0.0283,481.2,333.4,29.828,,,0.470317,True
ezkl,nlinear,112,4632,12,0.7899,0.0317,468.4,334.3,29.77,,,0.068181,True
ezkl,nlinear,113,4632,12,0.8019,0.0306,486.4,333.4,29.881,,,0.099869,True
ezkl,nlinear,114,4632,12,0.8353,0.0331,481.3,333.8,29.774,,,0.001168,True
ezkl,nlinear,115,4632,12,0.9793,0.0345,472.8,330.7,29.853,,,0.005982,True
ezkl,nlinear,116,4632,12,0.8699,0.0284,481.7,333.9,29.762,,,0.018473,True
ezkl,nlinear,117,4632,12,0.8286,0.0301,484.0,334.4,29.813,,,0.205382,True
ezkl,nlinear,118,4632,12,0.8338,0.0295,477.3,334.5,29.797,,,0.069904,True
ezkl,nlinear,119,4632,12,0.8603,0.0253,482.4,331.4,29.785,,,0.084848,True
ezkl,nlinear,120,4632,12,0.9309,0.0351,474.8,334.2,29.72,,,0.012105,True
ezkl,nlinear,121,4632,12,0.8371,0.0298,489.8,334.6,29.723,,,0.11401,True
ezkl,nlinear,122,4632,12,0.8541,0.0318,471.9,334.6,29.895,,,0.009849,True
ezkl,nlinear,123,4632,12,0.8233,0.0305,476.1,334.4,29.731,,,0.121567,True
ezkl,nlinear,124,4632,12,0.8271,0.0233,480.0,331.9,29.835,,,0.042644,True
ezkl,nlinear,125,4632,12,0.9404,0.0328,477.5,334.8,29.776,,,0.434067,True
ezkl,nlinear,126,4632,12,1.0544,0.0373,478.0,334.8,29.886,,,0.02134,True
ezkl,nlinear,127,4632,12,0.9864,0.0354,471.4,334.9,29.79,,,0.22709,True
ezkl,nlinear,128,4632,12,0.8654,0.0289,465.7,334.8,29.771,,,1.049315,True
ezkl,nlinear,129,4632,12,0.8193,0.0274,489.5,334.8,29.828,,,0.189049,True
ezkl,nlinear,130,4632,12,0.8027,0.0312,474.6,334.6,29.842,,,0.698804,True
ezkl,nlinear,131,4632,12,0.8345,0.0289,448.2,331.9,29.779,,,0.126546,True
ezkl,nlinear,132,4632,12,0.8818,0.0274,468.3,334.7,29.89,,,0.070186,True
ezkl,nlinear,133,4632,12,0.8918,0.0295,478.8,334.9,29.811,,,0.116341,True
ezkl,nlinear,134,4632,12,0.8586,0.0298,475.2,335.9,29.835,,,0.05244,True
ezkl,nlinear,135,4632,12,0.8558,0.0314,463.9,337.7,29.707,,,0.084411,True
ezkl,nlinear,136,4632,12,0.7725,0.0312,475.1,331.4,29.768,,,0.017515,True
ezkl,nlinear,137,4632,12,0.8483,0.0284,471.5,331.4,29.738,,,0.033383,True
ezkl,nlinear,138,4632,12,0.8192,0.0314,476.1,331.5,29.733,,,0.02171,True
ezkl,nlinear,139,4632,12,0.8283,0.0286,479.3,333.4,29.884,,,0.019833,True
ezkl,nlinear,140,4632,12,0.8344,0.0295,469.8,333.4,29.789,,,0.088978,True
ezkl,nlinear,141,4632,12,0.8334,0.0314,471.6,333.4,29.731,,,0.080307,True
ezkl,nlinear,142,4632,12,0.8541,0.0285,471.8,334.3,29.786,,,0.101338,True
ezkl,nlinear,143,4632,12,0.8533,0.0311,484.0,333.3,29.79,,,0.04371,True
ezkl,nlinear,144,4632,12,0.7622,0.0312,486.7,333.4,29.81,,,0.074977,True
ezkl,nlinear,145,4632,12,0.8191,0.0311,479.8,333.5,29.79,,,0.083911,True
ezkl,nlinear,146,4632,12,0.7939,0.0299,495.0,333.8,29.827,,,0.021509,True
ezkl,nlinear,147,4632,12,0.8308,0.0309,483.9,330.7,29.866,,,0.086478,True
ezkl,nlinear,148,4632,12,0.8263,0.0305,481.6,333.9,29.806,,,0.017951,True
ezkl,nlinear,149,4632,12,0.8644,0.0299,456.9,334.8,29.846,,,0.011435,True
ezkl,nlinear,150,4632,12,0.8122,0.0309,481.4,333.9,29.835,,,0.021281,True
ezkl,nlinear,151,4632,12,0.8217,0.0317,471.0,333.8,29.772,,,0.022228,True
ezkl,nlinear,152,4632,12,0.9975,0.034,515.3,334.4,29.757,,,0.02464,True
ezkl,nlinear,153,4632,12,0.9264,0.0277,462.0,335.5,29.771,,,0.025887,True
ezkl,nlinear,154,4632,12,0.781,0.032,469.9,334.3,29.772,,,0.099397,True
ezkl,nlinear,155,4632,12,0.8145,0.0285,485.0,334.5,29.81,,,0.027995,True
ezkl,nlinear,156,4632,12,0.8577,0.0305,464.0,336.5,29.855,,,0.099702,True
ezkl,nlinear,157,4632,12,0.7598,0.0311,481.7,334.6,29.853,,,0.058872,True
ezkl,nlinear,158,4632,12,0.8218,0.0298,481.9,334.5,29.854,,,0.007892,True
ezkl,nlinear,159,4632,12,0.861,0.0273,471.5,334.3,29.785,,,0.037345,True
